date,amount_weekly
2018-01-01,2470.4828549999997
2018-01-02,2475.1390452747255
2018-01-03,2479.7997669047613
2018-01-04,2484.465020307692
2018-01-05,2484.45157954945
2018-01-06,2484.4339018315018
2018-01-07,2484.411986736263
2018-01-08,2486.734024615384
2018-01-09,2491.4065934798523
2018-01-10,2496.083695648351
2018-01-11,2500.7653315384605
2018-01-12,2500.7375758827825
2018-01-13,2500.7055813186803
2018-01-14,2500.6693474285703
2018-01-15,2505.233233999998
2018-01-16,2505.4383648351627
2018-01-17,2505.6392715164816
2018-01-18,2505.8359536263715
2018-01-19,2501.3133996263714
2018-01-20,2496.7947753846133
2018-01-21,2492.280081318679
2018-01-22,2490.120706615382
2018-01-23,2490.3105340659317
2018-01-24,2490.4961354139164
2018-01-25,2490.6775102417555
2018-01-26,2486.168195934063
2018-01-27,2481.6628133333306
2018-01-28,2477.1613628571395
2018-01-29,2475.000956307689
2018-01-30,2475.17547355311
2018-01-31,2475.345762747249
2018-02-01,2480.0086660219745
2018-02-02,2480.00126751648
2018-02-03,2479.989628571425
2018-02-04,2479.973748769227
2018-02-05,2482.297629230765
2018-02-06,2486.967853186809
2018-02-07,2491.6426139267355
2018-02-08,2496.3219118681272
2018-02-09,2496.3001862857095
2018-02-10,2496.274218315014
2018-02-11,2496.2440075384566
2018-02-12,2498.5689198461487
2018-02-13,2503.2555413919363
2018-02-14,2507.9467016703247
2018-02-15,2514.891857142851
2018-02-16,2510.3589298644633
2018-02-17,2505.82993582417
2018-02-18,2501.304875439554
2018-02-19,2499.1436581538405
2018-02-20,2499.3401615384555
2018-02-21,2499.532435340653
2018-02-22,2499.7204791428508
2018-02-23,2495.2008037362575
2018-02-24,2490.685063516477
2018-02-25,2486.1732589010926
2018-02-26,2484.011009769224
2018-02-27,2484.1921907692245
2018-02-28,2484.369140238088
2018-03-01,2482.291366945048
2018-03-02,2482.283886593399
2018-03-03,2482.2721619047547
2018-03-04,2482.256192461531
2018-03-05,2484.582136615377
2018-03-06,2489.256583443216
2018-03-07,2493.935570952373
2018-03-08,2507.3642664088934
2018-03-09,2498.5972784908345
2018-03-10,2498.571211135523
2018-03-11,2498.5408970769145
2018-03-12,2500.8678730769147
2018-03-13,2505.5587311355225
2018-03-14,2510.254131824167
2018-03-15,2517.205601142848
2018-03-16,2512.6684276080496
2018-03-17,2508.1351912087825
2018-03-18,2503.605892362628
2018-03-19,2501.4426113846057
2018-03-20,2501.639219999991
2018-03-21,2501.8315951355216
2018-03-22,2502.019736373617
2018-03-23,2497.495828351639
2018-03-24,2492.9758594139093
2018-03-25,2488.459829978012
2018-03-26,2486.295517153836
2018-03-27,2486.47678974358
2018-03-28,2486.6538269047514
2018-03-29,2486.8266282197696
2018-03-30,2482.3159925311247
2018-03-31,2477.8092978754476
2018-04-01,2477.799381263725
2018-04-02,2480.127167999989
2018-04-03,2484.799252380941
2018-04-04,2489.475880923066
2018-04-05,2494.1570540439448
2018-04-06,2494.141280586069
2018-04-07,2494.121257362626
2018-04-08,2494.0969839560325
